student_id,name,batch_type,year,section,enrolled_courses
181400001,Karim Begum,Regular,2018,S,CSE411,CSE415,CSE431,CSE477
181400002,Abdul Ahmed,Regular,2018,T,CSE434,CSE441,CSE487,CSE495
181400003,Mohammad Khatun,Regular,2018,M,CSE412,CSE416,CSE432,CSE477
181400004,Salma Rahman,Regular,2018,K,CSE411,CSE415,CSE431,CSE432
181400005,Ahmed Hossain,Regular,2018,P,CSE434,CSE441,CSE487,CSE495
181400006,Nusrat Ali,Regular,2018,V,CSE411,CSE412,CSE416,CSE431
181400007,Hasan Islam,Regular,2018,C,CSE434,CSE441,CSE487,CSE495
181400008,Fatima Uddin,Regular,2018,L,CSE412,CSE415,CSE432,CSE477
181400009,Ayesha Chowdhury,Regular,2018,Q,CSE411,CSE416,CSE431,CSE432
181400010,Rashida Alam,Regular,2018,G,CSE434,CSE441,CSE487,CSE495
181400011,Nasreen Hassan,Regular,2018,X,CSE411,CSE412,CSE415,CSE477
181400012,Omar Mahmud,Regular,2018,D,CSE434,CSE441,CSE487,CSE495
181400013,Sultana Miah,Regular,2018,N,CSE412,CSE416,CSE431,CSE432
181400014,Ibrahim Sheikh,Regular,2018,R,CSE411,CSE415,CSE432,CSE477
181400015,Ruma Sarkar,Regular,2018,H,CSE434,CSE441,CSE487,CSE495
181400016,Tariq Bibi,Regular,2018,Y,CSE411,CSE412,CSE416,CSE431
181400017,Shahida Aktar,Regular,2018,E,CSE434,CSE441,CSE487,CSE495
181400018,Yusuf Molla,Regular,2018,O,CSE412,CSE415,CSE432,CSE477
181400019,Rehana Mondal,Regular,2018,I,CSE411,CSE416,CSE431,CSE432
181400020,Mahmud Roy,Regular,2018,U,CSE434,CSE441,CSE487,CSE495
181400021,Farida Das,Regular,2018,F,CSE411,CSE412,CSE415,CSE477
181400022,Rafiq Saha,Regular,2018,Z,CSE434,CSE441,CSE487,CSE495
181400023,Nasir Barua,Regular,2018,J,CSE412,CSE416,CSE431,CSE432
181400024,Shamsul Nath,Regular,2018,W,CSE411,CSE415,CSE432,CSE477
181400025,Rokeya Paul,Regular,2018,A,CSE434,CSE441,CSE487,CSE495
181400026,Aminul Ghosh,Regular,2018,S,CSE411,CSE412,CSE416,CSE431
181400027,Jahanara Sen,Regular,2018,T,CSE434,CSE441,CSE487,CSE495
181400028,Mizanur Rahman,Regular,2018,M,CSE412,CSE415,CSE432,CSE477
181400029,Hosne Ahmed,Regular,2018,K,CSE411,CSE416,CSE431,CSE432
181400030,Golam Khan,Regular,2018,P,CSE434,CSE441,CSE487,CSE495
181400031,Nurul Hossain,Regular,2018,V,CSE411,CSE412,CSE415,CSE477
181400032,Kamrun Ali,Regular,2018,C,CSE434,CSE441,CSE487,CSE495
181400033,Shafiq Islam,Regular,2018,L,CSE412,CSE416,CSE431,CSE432
181400034,Dilruba Uddin,Regular,2018,Q,CSE411,CSE415,CSE432,CSE477
181400035,Anwar Begum,Regular,2018,G,CSE434,CSE441,CSE487,CSE495
181400036,Maksuda Khatun,Regular,2018,X,CSE411,CSE412,CSE416,CSE431
181400037,Hafiz Chowdhury,Regular,2018,D,CSE434,CSE441,CSE487,CSE495
181400038,Shireen Alam,Regular,2018,N,CSE412,CSE415,CSE432,CSE477
181400039,Delwar Hassan,Regular,2018,R,CSE411,CSE416,CSE431,CSE432
181400040,Rahima Karim,Regular,2018,H,CSE434,CSE441,CSE487,CSE495
181400041,Shahed Miah,Regular,2018,Y,CSE411,CSE412,CSE415,CSE477
181400042,Monira Sheikh,Regular,2018,E,CSE434,CSE441,CSE487,CSE495
181400043,Ruhul Sarkar,Regular,2018,O,CSE412,CSE416,CSE431,CSE432
181400044,Zakir Bibi,Regular,2018,I,CSE411,CSE415,CSE432,CSE477
181400045,Selina Aktar,Regular,2018,U,CSE434,CSE441,CSE487,CSE495
181400046,Mosharraf Sultana,Regular,2018,F,CSE411,CSE412,CSE416,CSE431
181400047,Taslima Molla,Regular,2018,Z,CSE434,CSE441,CSE487,CSE495
181400048,Karim Mondal,Regular,2018,J,CSE412,CSE415,CSE432,CSE477
181400049,Abdul Roy,Regular,2018,W,CSE411,CSE416,CSE431,CSE432
181400050,Rahim Das,Regular,2018,A,CSE434,CSE441,CSE487,CSE495
181400051,Salma Saha,Regular,2018,S,CSE411,CSE412,CSE415,CSE477
181400052,Nusrat Barua,Regular,2018,T,CSE434,CSE441,CSE487,CSE495
181400053,Hasan Nath,Regular,2018,M,CSE412,CSE416,CSE431,CSE432
181400054,Fatima Paul,Regular,2018,K,CSE411,CSE415,CSE432,CSE477
181400055,Mohammad Ghosh,Regular,2018,P,CSE434,CSE441,CSE487,CSE495
181400056,Ayesha Sen,Regular,2018,V,CSE411,CSE412,CSE416,CSE431
181400057,Ahmed Rahman,Regular,2018,C,CSE434,CSE441,CSE487,CSE495
181400058,Rashida Ahmed,Regular,2018,L,CSE412,CSE415,CSE432,CSE477
181400059,Karim Khan,Regular,2018,Q,CSE411,CSE416,CSE431,CSE432
181400060,Nasreen Hossain,Regular,2018,G,CSE434,CSE441,CSE487,CSE495
181400061,Omar Ali,Regular,2018,X,CSE411,CSE412,CSE415,CSE477
181400062,Sultana Islam,Regular,2018,D,CSE434,CSE441,CSE487,CSE495
181400063,Ibrahim Uddin,Regular,2018,N,CSE412,CSE416,CSE431,CSE432
181400064,Ruma Begum,Regular,2018,R,CSE411,CSE415,CSE432,CSE477
181400065,Tariq Khatun,Regular,2018,H,CSE434,CSE441,CSE487,CSE495
181400066,Shahida Chowdhury,Regular,2018,Y,CSE411,CSE412,CSE416,CSE431
181400067,Yusuf Alam,Regular,2018,E,CSE434,CSE441,CSE487,CSE495
181400068,Rehana Hassan,Regular,2018,O,CSE412,CSE415,CSE432,CSE477
181400069,Mahmud Mahmud,Regular,2018,I,CSE411,CSE416,CSE431,CSE432
181400070,Farida Karim,Regular,2018,U,CSE434,CSE441,CSE487,CSE495
181400071,Rafiq Miah,Regular,2018,F,CSE411,CSE412,CSE415,CSE477
181400072,Nasir Sheikh,Regular,2018,Z,CSE434,CSE441,CSE487,CSE495
181400073,Shamsul Sarkar,Regular,2018,J,CSE412,CSE416,CSE431,CSE432
181400074,Rokeya Bibi,Regular,2018,W,CSE411,CSE415,CSE432,CSE477
181400075,Aminul Aktar,Regular,2018,A,CSE434,CSE441,CSE487,CSE495
181400076,Jahanara Sultana,Regular,2018,S,CSE411,CSE412,CSE416,CSE431
181400077,Mizanur Molla,Regular,2018,T,CSE434,CSE441,CSE487,CSE495
181400078,Hosne Mondal,Regular,2018,M,CSE412,CSE415,CSE432,CSE477
181400079,Golam Roy,Regular,2018,K,CSE411,CSE416,CSE431,CSE432
181400080,Nurul Das,Regular,2018,P,CSE434,CSE441,CSE487,CSE495
181400081,Kamrun Saha,Regular,2018,V,CSE411,CSE412,CSE415,CSE477
181400082,Shafiq Barua,Regular,2018,C,CSE434,CSE441,CSE487,CSE495
181400083,Dilruba Nath,Regular,2018,L,CSE412,CSE416,CSE431,CSE432
182400001,Anwar Paul,Regular,2018,Q,CSE411,CSE415,CSE432,CSE477
182400002,Maksuda Ghosh,Regular,2018,G,CSE434,CSE441,CSE487,CSE495
182400003,Hafiz Sen,Regular,2018,X,CSE411,CSE412,CSE416,CSE431
182400004,Shireen Rahman,Regular,2018,D,CSE434,CSE441,CSE487,CSE495
182400005,Delwar Ahmed,Regular,2018,N,CSE412,CSE415,CSE432,CSE477
182400006,Rahima Khan,Regular,2018,R,CSE411,CSE416,CSE431,CSE432
182400007,Shahed Hossain,Regular,2018,H,CSE434,CSE441,CSE487,CSE495
182400008,Monira Ali,Regular,2018,Y,CSE411,CSE412,CSE415,CSE477
182400009,Ruhul Islam,Regular,2018,E,CSE434,CSE441,CSE487,CSE495
182400010,Zakir Uddin,Regular,2018,O,CSE412,CSE416,CSE431,CSE432
182400011,Selina Begum,Regular,2018,I,CSE411,CSE415,CSE432,CSE477
182400012,Mosharraf Khatun,Regular,2018,U,CSE434,CSE441,CSE487,CSE495
182400013,Taslima Chowdhury,Regular,2018,F,CSE411,CSE412,CSE416,CSE431
182400014,Karim Alam,Regular,2018,Z,CSE434,CSE441,CSE487,CSE495
182400015,Abdul Hassan,Regular,2018,J,CSE412,CSE415,CSE432,CSE477
182400016,Rahim Mahmud,Regular,2018,W,CSE411,CSE416,CSE431,CSE432
