student_id,name,batch_type,year,section,enrolled_courses
181400001,Karim Begum,Regular,2018,2,CSE411;CSE415;CSE431;CSE477
181400002,Abdul Ahmed,Regular,2018,3,CSE434;CSE441;CSE487;CSE495
181400003,Mohammad Khatun,Regular,2018,1,CSE412;CSE416;CSE432;CSE477
181400004,Salma Rahman,Regular,2018,5,CSE411;CSE415;CSE431;CSE432
181400005,Ahmed Hossain,Regular,2018,4,CSE434;CSE441;CSE487;CSE495
181400006,Nusrat Ali,Regular,2018,6,CSE411;CSE412;CSE416;CSE431
181400007,Hasan Islam,Regular,2018,2,CSE434;CSE441;CSE487;CSE495
181400008,Fatima Uddin,Regular,2018,4,CSE412;CSE415;CSE432;CSE477
181400009,Ayesha Chowdhury,Regular,2018,3,CSE411;CSE416;CSE431;CSE432
181400010,Rashida Alam,Regular,2018,1,CSE434;CSE441;CSE487;CSE495
181400011,Nasreen Hassan,Regular,2018,3,CSE411;CSE412;CSE415;CSE477
181400012,Omar Mahmud,Regular,2018,5,CSE434;CSE441;CSE487;CSE495
181400013,Sultana Miah,Regular,2018,3,CSE412;CSE416;CSE431;CSE432
181400014,Ibrahim Sheikh,Regular,2018,5,CSE411;CSE415;CSE432;CSE477
181400015,Ruma Sarkar,Regular,2018,5,CSE434;CSE441;CSE487;CSE495
181400016,Tariq Bibi,Regular,2018,3,CSE411;CSE412;CSE416;CSE431
181400017,Shahida Aktar,Regular,2018,4,CSE434;CSE441;CSE487;CSE495
181400018,Yusuf Molla,Regular,2018,6,CSE412;CSE415;CSE432;CSE477
181400019,Rehana Mondal,Regular,2018,3,CSE411;CSE416;CSE431;CSE432
181400020,Mahmud Roy,Regular,2018,2,CSE434;CSE441;CSE487;CSE495
181400021,Farida Das,Regular,2018,5,CSE411;CSE412;CSE415;CSE477
181400022,Rafiq Saha,Regular,2018,6,CSE434;CSE441;CSE487;CSE495
181400023,Nasir Barua,Regular,2018,3,CSE412;CSE416;CSE431;CSE432
181400024,Shamsul Nath,Regular,2018,4,CSE411;CSE415;CSE432;CSE477
181400025,Rokeya Paul,Regular,2018,1,CSE434;CSE441;CSE487;CSE495
181400026,Aminul Ghosh,Regular,2018,6,CSE411;CSE412;CSE416;CSE431
181400027,Jahanara Sen,Regular,2018,6,CSE434;CSE441;CSE487;CSE495
181400028,Mizanur Rahman,Regular,2018,5,CSE412;CSE415;CSE432;CSE477
181400029,Hosne Ahmed,Regular,2018,3,CSE411;CSE416;CSE431;CSE432
181400030,Golam Khan,Regular,2018,4,CSE434;CSE441;CSE487;CSE495
181400031,Nurul Hossain,Regular,2018,5,CSE411;CSE412;CSE415;CSE477
181400032,Kamrun Ali,Regular,2018,1,CSE434;CSE441;CSE487;CSE495
181400033,Shafiq Islam,Regular,2018,3,CSE412;CSE416;CSE431;CSE432
181400034,Dilruba Uddin,Regular,2018,2,CSE411;CSE415;CSE432;CSE477
181400035,Anwar Begum,Regular,2018,6,CSE434;CSE441;CSE487;CSE495
181400036,Maksuda Khatun,Regular,2018,3,CSE411;CSE412;CSE416;CSE431
181400037,Hafiz Chowdhury,Regular,2018,4,CSE434;CSE441;CSE487;CSE495
181400038,Shireen Alam,Regular,2018,4,CSE412;CSE415;CSE432;CSE477
181400039,Delwar Hassan,Regular,2018,6,CSE411;CSE416;CSE431;CSE432
181400040,Rahima Karim,Regular,2018,3,CSE434;CSE441;CSE487;CSE495
181400041,Shahed Miah,Regular,2018,4,CSE411;CSE412;CSE415;CSE477
181400042,Monira Sheikh,Regular,2018,3,CSE434;CSE441;CSE487;CSE495
181400043,Ruhul Sarkar,Regular,2018,2,CSE412;CSE416;CSE431;CSE432
181400044,Zakir Bibi,Regular,2018,2,CSE411;CSE415;CSE432;CSE477
181400045,Selina Aktar,Regular,2018,4,CSE434;CSE441;CSE487;CSE495
181400046,Mosharraf Sultana,Regular,2018,4,CSE411;CSE412;CSE416;CSE431
